sym,price_est_vs_actual,price,est_price_unsplit,MCAP,SharesOutstanding
CODA,1.03,10.76,11.07,118.13904,10.672
SSL,1.03,19.19,19.74,12334.095,624.713
TGI,1.03,23.35,24.02,1202.62025,50.059
OSPN,1.03,13.24,13.62,549.45804,40.335
ANAB,1.03,50.98,52.46,1417.54494,27.024
PMCB,1.03,0.038,0.04,44.06199,1126.905
SSRM,1.03,16.42,16.90,2048.5842,121.25
HWKN,1.03,44.04,45.32,483.303,10.665
FOR,1.03,18.96,19.51,818.6396,41.96
PETS,1.03,15.73,16.19,326.5768,20.175
SHG,1.03,33.37,34.34,16148.41934,470.251
GYRO,1.03,17.5,18.01,26.70883,1.483
AOSL,1.03,11.16,11.49,279.00346,24.292
CASA,1.03,7.01,7.21,606.23416,84.031
IBM,1.03,136.13,140.10,124111.0875,885.875
CNXN,1.03,36.84,37.91,997.83816,26.318
KIDS,1.03,31.26,32.17,472.22179,14.678
NPK,1.03,92.81,95.52,668.1624,6.995
TNC,1.03,68.32,70.32,1280.16889,18.206
SJT,1.03,3.08,3.17,147.75053,46.609
PRTH,1.03,5.79,5.96,399.35136,67.014
NERV,1.03,6.84,7.04,274.736,39.025
LQDA,1.03,7.1,7.31,136.23647,18.643
HP,1.03,42.71,43.96,4810.67468,109.434
HARP,1.03,12.53,12.90,316.81952,24.564
CTRC,1.03,2.77,2.85,166.9245,58.543
NTAP,1.03,46.59,47.96,11460,238.949
TOL,1.03,35.96,37.02,5325.7141,143.87
YETI,1.03,30.09,30.98,2629.42,84.883
SYRS,1.03,8.77,9.03,383.18805,42.438
DO,1.03,5.91,6.08,837.8622,137.694
KISB,1.03,31.5,32.43,82.31607,2.538
MLI,1.03,26.86,27.66,1567.18794,56.666
FFIV,1.03,133.45,137.41,8262.32589,60.13
SMP,1.03,44.42,45.74,1020.99139,22.322
RAD,1.03,7.19,7.40,398.3642,53.806
TNK,1.03,1.02,1.05,282.4395,268.908
FUL,1.03,44.65,45.98,2341.16366,50.918
KEP,1.03,10.41,10.72,13763.70816,1283.928
ERII,1.03,9.7,9.99,549.04,54.965
KTOS,1.03,18.94,19.50,2069.55956,106.105
ACHN,1.03,4.68,4.82,668.61112,138.725
DMRC,1.03,45.14,46.49,578.01017,12.433
CSS,1.03,4.72,4.86,43.03619,8.853
CTRP,1.03,33.94,34.96,19348.87517,553.498
GOOS,1.03,43.73,45.04,4930.77058,109.473
CRON,1.03,13.36,13.76,4625.6478,336.152
SF,1.03,53.91,55.53,3863.76,69.584
WLK,1.03,61.57,63.42,8134.72992,128.269
CFG,1.03,33.31,34.31,15339.784,447.087
PRLB,1.03,96.2,99.09,2663.73738,26.882
RIGL,1.03,2.14,2.20,369.46559,167.609
NORZF,1.03,0.0631,0.07,24.10837,370.898
UBX,1.03,6.9,7.11,307.07808,43.203
AT,1.03,2.32,2.39,261.42298,109.382
ZIOP,1.03,5.51,5.68,921.79016,162.394
GRAM,1.03,2.65,2.73,476.06832,174.384
DKS,1.03,32.57,33.55,3087.76464,92.025
ETRN,1.03,14.57,15.01,3822.91191,254.691
GLOG,1.03,12.24,12.61,1016.98389,80.649
LYG,1.03,2.37,2.44,42989.13,17605.518
SGU,1.03,9.57,9.86,485.91732,49.281
IP,1.03,39.85,41.06,16130.205,392.836
SGC,1.03,14.15,14.58,222.43248,15.256
FPPP,1.03,0.075,0.08,0.8245,10.669
UNAM,1.03,5.92,6.10,32.3727,5.307
MOD,1.03,10.51,10.83,549.588,50.747
CTB,1.03,23.85,24.58,1233.15402,50.176
SINA,1.03,34.56,35.62,2477.13128,69.553
GLMD,1.03,4.85,5.00,105.565,21.121
DL,1.03,4.8,4.95,165.44094,33.445
TCRR,1.03,15.14,15.60,373.5344,23.94
IMMU,1.03,15.06,15.52,2979.9423,191.978
WDR,1.03,16.51,17.02,1243.52144,73.075
GCAP,1.03,4.28,4.41,163.38556,37.036
ZBRA,1.03,205.59,211.91,11467.64952,54.116
FONR,1.03,23.59,24.32,163.8868,6.74
CLBS,1.03,2.6,2.68,27.82376,10.382
TCMD,1.03,50.37,51.92,984.81615,18.968
MERC,1.03,11.49,11.84,777.30784,65.63
DVN,1.03,24.05,24.79,10020.4,404.2
WHR,1.03,136.6,140.81,8945.37,63.527
GIFI,1.03,6.78,6.99,106.49964,15.238
KE,1.03,14.59,15.04,382.30176,25.419
MICT,1.03,0.69,0.71,7.83153,11.01
PIR,1.03,3.61,3.72,15.84638,4.258
GWW,1.03,268.36,276.68,15098.70428,54.571
MGA,1.03,49.77,51.31,16122.02324,314.183
NUS,1.03,40.7,41.97,2331.308,55.547
CMC,1.03,16.34,16.85,1987.0194,117.924
EURN,1.03,7.68,7.92,1715.89968,216.654
ANGO,1.03,19.51,20.12,750.02316,37.277
FSTR,1.03,22.65,23.36,247.30308,10.587
ARLP,1.03,15.9601,16.46,2113.31586,128.391
GLUU,1.03,5.02,5.18,752.01168,145.253
TXT,1.03,46.77,48.24,11100.2985,230.124
ALKS,1.03,22.17,22.87,3592.80839,157.131
DLTR,1.03,90.1,92.93,22077.792,237.579
BIMI,1.03,2.23,2.30,17.4179,7.573
TXRH,1.03,54.46,56.17,3908.16148,69.574
TGP,1.03,14.15,14.60,1147.59183,78.626
VGR,1.03,11.27,11.63,1638.65537,140.959
CHMI,1.03,14.33,14.78,247.87104,16.769
PMBC,1.03,7.65,7.89,174.011,22.051
CFGMF,1.03,0.3973,0.41,24.44077,59.632
CCXI,1.03,6.83,7.05,410.43186,58.25
TXN,1.03,120.61,124.44,116175.77515,933.62
WARM,1.03,0.0502,0.05,12.20784,235.684
USM,1.03,35.81,36.95,3204.5996,86.728
NOAH,1.03,29.52,30.46,1872.1386,61.462
MARPS,1.03,2.1999,2.27,4.54,2
OPI,1.03,26.96,27.82,1338.50366,48.112
ZIXI,1.03,8.12,8.38,465.89448,55.599
WB,1.03,35.58,36.72,8262.7965,225.035
BLK,1.03,426.33,440.01,67991.70654,154.522
AMNB,1.03,34.69,35.80,398.95921,11.143
MDCA,1.03,2.43,2.51,180.4439,71.944
SIVB,1.03,199.22,205.63,10602.69406,51.562
BHE,1.03,26.35,27.20,1048.94582,38.567
ARCH,1.03,76.08,78.53,1277.05486,16.262
MPAA,1.03,15.78,16.29,307.69728,18.89
MTL,1.03,1.86,1.92,399.6192,208.135
FDP,1.03,28.86,29.79,1440.58572,48.356
HLI,1.03,43.03,44.42,2937.8148,66.139
RLGT,1.03,4.85,5.01,248.19039,49.573
FLYLF,1.03,1.3358,1.38,28.5173,20.68
NOVT,1.03,70.77,73.06,2565.54592,35.116
PAG,1.03,44.12,45.55,3739.2444,82.09
BAP,1.03,207.4,214.13,17079.56516,79.761
CEVA,1.03,30.41,31.40,689.9522,21.974
REDU,1.03,8.22,8.49,481.8583,56.774
CVU,1.03,7.77,8.02,94.82688,11.819
CURO,1.03,13.35,13.79,624.03264,45.268
DIGP,1.03,0.14,0.14,6.89012,47.66
BURL,1.03,171.46,177.06,11750.76396,66.366
NXGN,1.03,15.58,16.09,1052.01247,65.382
LPL,1.03,5.19,5.36,3835.78216,715.631
NFG,1.03,47.47,49.03,4231.63221,86.315
DCAR,1.03,0.833,0.86,3.37152,3.919
PTSI,1.03,51.3,52.98,305.01372,5.757
NMCI,1.03,1.83,1.89,65.39967,34.603
OPTN,1.03,5.18,5.35,220.7624,41.264
GSM,1.03,1.34,1.38,234.08368,169.123
DERM,1.03,8.39,8.67,471.43407,54.398
SWKH,1.03,10,10.33,133.24667,12.898
FBM,1.03,18.72,19.34,831.38792,42.988
ANCN,1.03,2.7199,2.81,20.8502,7.42
COHN,1.03,4.4915,4.64,5.652,1.218
NVAX,1.03,4.15,4.29,102.5757,23.922
FLR,1.03,19.41,20.06,2806.28348,139.927
REGN,1.03,304.88,315.04,34018.45821,107.983
LNTH,1.03,22.72,23.48,917.5105,39.079
APO,1.03,32.84,33.94,6814.824,200.788
TEX,1.03,25.62,26.48,1885.312,71.2
MCHP,1.03,87.85,90.80,21613.578,238.044
VOC,1.03,4.77,4.93,83.81,17
AMBA,1.03,45.27,46.79,1531.85781,32.74
UUU,1.03,1.19,1.23,2.84499,2.313
SPRWF,1.03,0.89,0.92,298.96875,324.986
UMC,1.03,2.05,2.12,4877.184,2301.648
BJ,1.03,23.21,23.99,3338.68654,139.149
TITN,1.03,19.25,19.90,441.4616,22.184
KFFB,1.03,7.6,7.86,65.79144,8.374
PTC,1.03,66.49,68.74,7907.84208,115.042
ADRO,1.03,1.33,1.38,110.19576,80.14
MTOR,1.03,19.33,19.98,1650.348,82.58
AVLIF,1.03,0.2418,0.25,39.66325,158.653
AGI,1.03,7.23,7.48,2916.51932,390.085
CALX,1.03,5.86,6.06,335.98458,55.441
ROX,1.03,0.5951,0.62,104.86387,170.372
KIN,1.03,7.17,7.42,289.69906,39.061
ESPR,1.03,37.71,39.01,1049.95016,26.917
CRH,1.03,32.09,33.19,26456.63664,797.019
GIGA,1.03,0.37,0.38,4.5444,11.873
MNOV,1.03,8.64,8.94,386.59803,43.249
BWA,1.03,33.81,34.98,7223.8947,206.515
ARA,1.03,6.91,7.15,232.48225,32.517
UEPS,1.03,3.46,3.58,203.40128,56.816
MTX,1.03,49.93,51.66,1811.43135,35.063
RYTM,1.03,21.28,22.02,759.99094,34.515
RYAM,1.03,2.87,2.97,148.04856,49.85
RL,1.03,93.72,96.98,7489.172,77.222
AAON,1.03,43.92,45.45,2368.24192,52.107
DECK,1.03,144.93,149.98,4344.34028,28.966
SWKS,1.03,77.52,80.22,13774.332,171.703
APOP,1.03,0.415,0.43,4.81212,11.204
MSON,1.03,22.02,22.79,219.71839,9.641
SD,1.04,5.48,5.67,202.41292,35.686
GTLS,1.04,61.86,64.03,2291.54332,35.789
CPAH,1.04,1.4,1.45,8.6275,5.953
APY,1.04,28.4,29.40,2277.2946,77.46
LOW,1.04,98.55,102.02,79873.65,782.916
FTI,1.04,24.5,25.36,11324.058,446.482
AXL,1.04,7.71,7.98,897.75,112.476
DEO,1.04,163.72,169.50,100479.015,592.792
RTEC,1.04,23.49,24.32,756.74112,31.116
RM,1.04,27.44,28.41,326.22303,11.482
SCHL,1.04,33.78,34.98,1217.87691,34.82
MATW,1.04,31.54,32.66,1028.33689,31.488
LFUS,1.04,154.22,159.69,3926.40033,24.588
AOBC,1.04,8.27,8.56,469.30026,54.802
BRG,1.04,12.05,12.48,278.46732,22.317
ITT,1.04,56.81,58.83,5177.31,88
BOOT,1.04,30.85,31.95,909.8082,28.477
GS,1.04,206.9,214.27,77045.4,359.564
ALLT,1.04,7.4,7.66,253.54208,33.083
UFI,1.04,17.85,18.49,340.6035,18.424
SEAS,1.04,33.01,34.19,2690.24706,78.685
NTP,1.04,9.91,10.27,392.06538,38.193
GLT,1.04,14.2,14.71,649.75541,44.171
NOMD,1.04,21.29,22.05,4288.5927,194.452
BSTC,1.04,56.15,58.17,423.87072,7.287
RYN,1.04,26.06,27.00,3500.01,129.636
NVTA,1.04,26.15,27.09,2578.4825,95.175
ACMR,1.04,17.18,17.80,286.4565,16.092
CMRE,1.04,5.37,5.56,625.79825,112.464
NEON,1.04,2.75,2.85,25.08,8.801
AMOT,1.04,34.74,36.00,345.6,9.6
AMWD,1.04,80.83,83.77,1413.12563,16.87
ODFL,1.04,165.02,171.02,13682.52144,80.006
VALE,1.04,11.55,11.97,61385.53554,5128.283
LB,1.04,22.82,23.65,6535.68,276.34
CATM,1.04,32.21,33.38,1512.21885,45.298
CLOK,1.04,0.8201,0.85,34.67405,40.793
OHI,1.04,38.68,40.09,8299.97849,207.026
IDCC,1.04,51.45,53.33,1659.94958,31.127
SVRA,1.04,2.3,2.38,89.9333,37.721
CLLS,1.04,13.37,13.86,588.0798,42.43
OXM,1.04,66.83,69.28,1179.07632,17.019
SRL,1.04,13.02,13.50,169.209,12.535
CNFR,1.04,3.68,3.82,31.82493,8.341
MHLD,1.04,0.5551,0.58,47.79503,83.041
MDGS,1.04,2.17,2.25,8.54325,3.797
LXU,1.04,4.82,5.00,143.85,28.783
SCHW,1.04,36.87,38.23,49973.31745,1307.183
DY,1.04,48.07,49.84,1569.22815,31.483
RGR,1.04,42.25,43.81,766.01785,17.485
VJET,1.04,1.75,1.81,42.55922,23.45
MMRGF,1.04,0.385,0.40,124.84225,312.664
ASIX,1.04,23.02,23.87,664.09339,27.816
GE,1.04,9.15,9.49,82819.91328,8727.072
AEZS,1.04,2.42,2.51,41.26691,16.441
UG,1.04,19.31,20.03,92.01782,4.594
TGNA,1.04,14.08,14.61,3164.24955,216.654
LE,1.04,9.62,9.98,322.98274,32.367
HUBG,1.04,41.48,43.03,1466.32464,34.079
MRC,1.04,13.66,14.17,1178.10797,83.141
LLNW,1.04,2.42,2.51,291.7152,116.201
PRTA,1.04,8.61,8.93,356.3931,39.897
NWHM,1.04,4,4.15,83.40384,20.097
PHUN,1.04,1.71,1.77,68.9958,38.888
GSS,1.04,3.2,3.32,362.38392,109.142
INFI,1.04,1.33,1.38,78.69726,57.027
AEIS,1.04,48.47,50.29,1926.7415,38.309
BAS,1.04,1.62,1.68,43.40077,25.817
REZI,1.04,16.45,17.07,2095.8868,122.779
TSQ,1.04,6.17,6.40,110.9277,17.325
NLNK,1.04,1.59,1.65,61.54665,37.301
REXN,1.04,2.65,2.75,11.0528,4.019
BUDZ,1.04,0.5199,0.54,57.994,107.486
LEDIF,1.04,0.2698,0.28,10.8598,38.785
IIN,1.04,17.25,17.90,156.4163,8.737
BZH,1.04,11.61,12.05,372.99216,30.955
NOV,1.04,20.08,20.84,8042.23936,385.896
FCX,1.04,9.75,10.12,14684.12,1450.891
MNLO,1.04,3.12,3.24,77.57856,23.953
TEVA,1.04,7.02,7.29,7957.74942,1091.906
CBL,1.04,0.879,0.91,158.31055,173.472
TKR,1.04,41.43,43.01,3270.8764,76.042
INGN,1.04,44.94,46.66,1023.44044,21.934
CVI,1.04,45.45,47.19,4744.05789,100.531
WHLR,1.04,1.3,1.35,13.08555,9.693
IO,1.04,7.74,8.04,113.967,14.178
CATO,1.04,13.23,13.74,340.3398,24.77
SBH,1.04,13.23,13.74,1656.5927,120.543
VTNR,1.04,1.29,1.34,53.96314,40.271
QRVO,1.04,69.46,72.16,8498.97258,117.785
BE,1.04,8.56,8.89,1009.86888,113.564
DFIN,1.04,11.84,12.30,421.89,34.3
PKD,1.04,11.56,12.01,180.67844,15.045
SSTK,1.04,34.54,35.88,1266.46736,35.295
TRBMF,1.04,0.337,0.35,27.07113,77.324
LEAT,1.04,1.8,1.87,10.07369,5.387
METC,1.04,3.6,3.74,152.71542,40.832
CPAC,1.04,8.55,8.88,753.04549,84.774
SANW,1.04,2.55,2.65,88.1708,33.278
STNG,1.04,23.5,24.42,1265.90811,51.845
AUG,1.04,1.51,1.57,149.32106,95.17
SECO,1.04,7.42,7.71,387.38124,50.244
ZEST,1.04,0.51,0.53,27.55258,51.986
FTK,1.04,1.99,2.07,118.83934,57.464
GBX,1.04,25.48,26.48,860.17632,32.484
TPR,1.04,27.39,28.47,8259.147,290.136
OHAI,1.04,1.27,1.32,26.62704,20.172
BCRX,1.04,2.83,2.94,324.4878,110.313
BNSO,1.04,2.5185,2.62,12.2512,4.68
POLA,1.04,4.07,4.23,42.913,10.143
SGH,1.04,28.08,29.19,673.73439,23.081
XPO,1.04,67.66,70.34,6483.59616,92.181
NGS,1.04,12.43,12.92,170.92538,13.227
EA,1.04,91.96,95.61,28177.31901,294.707
HA,1.04,25.7,26.72,1263.6596,47.29
VHC,1.04,5.01,5.21,354.82184,68.104
ICTSF,1.04,1,1.04,26.104,25.1
NPO,1.04,64.92,67.52,1390.37554,20.593
HCC,1.04,20.35,21.17,1091.54637,51.571
UVV,1.04,51.86,53.94,1346.93574,24.971
EQT,1.04,12.09,12.58,3212.97756,255.499
AEO,1.04,16.07,16.72,2878.8225,172.224
PVAC,1.04,31.5,32.77,494.99085,15.107
MMSI,1.04,36.65,38.12,2096.95935,55.005
MIC,1.04,38.09,39.62,3417.7845,86.261
GRIF,1.04,37.8175,39.34,199.57182,5.073
BIOL,1.04,1.49,1.55,33.0057,21.294
SMTC,1.04,46.09,47.95,3196.96065,66.677
RYAAY,1.04,60,62.42,13970.2884,223.794
DNOW,1.04,11.87,12.35,1343.6306,108.797
HLX,1.04,7.41,7.71,1146.93189,148.767
RVRA,1.04,11.28,11.74,768.0965,65.442
GTBP,1.04,0.18,0.19,9.62235,51.374
LDL,1.04,20.46,21.29,373.32015,17.535
SCCO,1.04,31.98,33.28,25725.44,773.059
XYF,1.04,2.71,2.82,437.96574,155.307
GNK,1.04,8.13,8.46,352.41822,41.657
UFS,1.04,35.46,36.90,2328.4269,63.101
DBVT,1.04,9.61,10.00,723.18246,72.316
SPWH,1.04,3.86,4.02,173.12774,43.099
REPL,1.04,10.73,11.17,353.60869,31.666
HLIO,1.04,42.57,44.31,1418.99344,32.027
ODP,1.04,1.59,1.65,904.20594,546.378
QBAK,1.04,4.85,5.05,9.87471,1.956
DHT,1.04,5.28,5.50,780.45612,142
HBM,1.04,3.41,3.55,927.5156,261.272
TRN,1.04,18.94,19.72,2521.494,127.874
UNB,1.04,29.88,31.11,138.99948,4.468
ING,1.04,9.73,10.13,39450.5826,3894.029
TILE,1.04,11.28,11.75,704.58784,59.988
CCIH,1.04,0.8839,0.92,23.54886,25.584
NVT,1.04,21.24,22.12,3741.28146,169.114
VIPS,1.04,6.49,6.76,4492.17225,664.531
UMH,1.04,12.35,12.86,508.27084,39.511
SRAFF,1.04,0.2171,0.23,185.40274,819.833
TMST,1.04,6.18,6.44,288.512,44.816
NAV,1.04,25.26,26.31,2608.96,99.148
AGE,1.04,2.63,2.74,103.1062,37.63
IAA,1.04,45.01,46.89,6257.031,133.43
AXLA,1.04,7.25,7.55,173.78928,23.008
SALT,1.04,5.34,5.56,396.25335,71.217
AVT,1.04,41.32,43.05,4576.52314,106.296
ARAY,1.04,3.56,3.71,326.5542,88.024
MCFT,1.04,14.48,15.09,282.54516,18.724
EAF,1.04,10.88,11.34,3294.70092,290.538
AAMC,1.04,10.78,11.24,17.87625,1.591
TWMC,1.04,0.26,0.27,9.82619,36.259
MOSY,1.04,0.1439,0.15,6.48495,43.233
BNKL,1.04,3.19,3.33,12.31021,3.702
BITA,1.04,11.43,11.91,866.69175,72.74
ARLO,1.04,3.07,3.20,239.5808,74.863
SHOO,1.04,30.1,31.38,2662.74274,84.86
HOME,1.04,4.78,4.98,319.15541,64.041
EMHTF,1.04,1.41,1.47,221.43455,150.615
MRIC,1.04,3.98,4.15,45.92805,11.067
IVZ,1.04,16.37,17.07,8019.38358,469.794
OSK,1.04,74.11,77.28,5285.76238,68.395
STLD,1.04,28.19,29.40,6534.10761,222.245
BLCM,1.04,1.0998,1.15,53.05988,46.254
RVNC,1.04,12.54,13.08,576.8934,44.103
MBUU,1.04,27.14,28.31,590.29181,20.851
ROAN,1.04,1.12,1.17,179.9972,154.065
CTSO,1.04,5.54,5.78,186.68697,32.303
REV,1.04,16.83,17.56,931.1564,53.032
SOHU,1.04,9.67,10.09,395.82061,39.229
TIGR,1.04,4.23,4.41,586.10595,132.787
AMTD,1.04,44.745,46.69,25611.42,548.524
PLCE,1.04,83.32,86.95,1377.89028,15.847
BEN,1.04,29.32,30.60,15410.9484,503.667
CAAS,1.04,2.06,2.15,67.7207,31.498
LONE,1.04,2.77,2.89,72.09234,24.934
WLL,1.04,9.35,9.76,891.07824,91.299
DSSI,1.04,10.48,10.94,436.40754,39.891
CIGI,1.04,70.92,74.04,2832.51042,38.259
NWPX,1.04,24.975,26.07,254.0835,9.745
AXTI,1.04,3.84,4.01,160.78392,40.101
AXGT,1.04,6.33,6.61,150.57514,22.781
OSUR,1.04,7.52,7.85,484.70262,61.725
ARNA,1.04,54.05,56.44,2797.764,49.57
SSI,1.04,0.66,0.69,19.7547,28.663
NATR,1.04,8.8,9.19,177.11887,19.273
MDRX,1.04,9.71,10.14,1687.92144,166.438
DMAC,1.04,3.15,3.29,39.33853,11.957
CLMT,1.04,4.5,4.70,364.109,77.47
RADA,1.04,3.59,3.75,142.75125,38.067
PPDF,1.04,3.45,3.60,1106.15688,306.924
WAB,1.04,68.77,71.84,13517.18489,188.155
EAST,1.04,3.96,4.14,37.90176,9.162
MEIP,1.04,1.56,1.63,116.18803,71.29
DLTH,1.04,10.99,11.48,375.75747,32.725
GES,1.04,16,16.72,1197.65583,71.642
GRUB,1.04,66.27,69.25,6326.00004,91.353
CPMMF,1.04,0.089,0.09,23.33993,250.967
SALM,1.05,2,2.09,54.72874,26.186
BRFH,1.05,0.4397,0.46,59.77452,130.086
BHF,1.05,34.75,36.32,4046.2084,111.41
WWR,1.05,3.04,3.18,5.90367,1.858
DBI,1.05,16.47,17.21,1295.12741,75.233
KMT,1.05,30.01,31.37,2584.67646,82.39
TUP,1.05,14.81,15.48,755.3925,48.792
CONN,1.05,19.11,19.98,637.78189,31.922
QES,1.05,1.59,1.66,56.2242,33.822
SCHN,1.05,24.09,25.19,674.48744,26.779
PEI,1.05,5.42,5.67,439.53544,77.549
GMS,1.05,22.15,23.16,935.26125,40.375
UFAB,1.05,2.4,2.51,24.54529,9.779
M,1.05,19.43,20.32,6276.848,308.872
MUX,1.05,1.93,2.02,730.77158,362.011
AREX,1.05,0.2248,0.24,22.03052,93.697
UCTT,1.05,12.88,13.47,532.74528,39.545
ALB,1.05,70.25,73.48,7787.80879,105.986
AVD,1.05,13.74,14.37,434.0592,30.2
GPK,1.05,13.45,14.07,4136.1579,293.97
SLP,1.05,37.98,39.73,696.56272,17.531
CMBM,1.05,8.89,9.30,238.1544,25.606
CAKE,1.05,40.06,41.91,1870.56375,44.632
TELL,1.05,5.23,5.47,1325.41472,242.215
KLIC,1.05,20.9,21.87,1386.70578,63.408
PATK,1.05,41.88,43.83,1046.061,23.869
DF,1.05,1.07,1.12,102.74656,91.744
AMNL,1.05,0.032,0.03,5.87972,175.514
RGNX,1.05,39.42,41.27,1518.96016,36.807
SHEN,1.05,33.7,35.28,1758.99476,49.857
GLIBA,1.05,59.41,62.20,6286.82202,101.079
SUMR,1.05,0.3472,0.36,6.85343,18.854
XLNX,1.05,104.25,109.15,27572.0368,252.605
SJR,1.05,19.5,20.42,10078.78074,493.602
RRD,1.05,1.91,2.00,141.6,70.8
CATS,1.05,15.7,16.44,266.57225,16.215
CPST,1.05,0.6694,0.70,51.27194,73.145
AA,1.05,19.21,20.12,3733.20564,185.557
IDT,1.05,8.63,9.04,237.56216,26.28
CGBD,1.05,13.92,14.58,871.28784,59.755
ITP,1.05,0.5537,0.58,12.77276,22.022
ENOB,1.05,4.2,4.40,170.6716,38.789
GLNG,1.05,13.38,14.02,1420.31427,101.302
MTEM,1.05,5.18,5.43,199.59051,36.769
ORBC,1.05,5.17,5.42,432.10408,79.754
XERS,1.05,10.74,11.26,303.744,26.987
CCR,1.05,12.88,13.50,373.0455,27.633
AMSC,1.05,8.1,8.49,183.1068,21.567
IMV,1.05,2.4797,2.60,131.5522,50.612
UWEFF,1.05,0.118,0.12,2.85042,23.043
MLND,1.05,7.51,7.87,105.39462,13.386
LRAD,1.05,3.91,4.10,133.5452,32.572
SINT,1.05,1.88,1.97,1.43121,0.726
MDCO,1.05,32.9,34.50,2737.50575,79.35
DNR,1.05,1.03,1.08,498.1554,461.225
BNED,1.05,3.08,3.23,153.62849,47.563
CHS,1.05,3.08,3.23,381.03664,117.945
RBYCF,1.05,0.659,0.69,45.52285,65.853
BJRI,1.05,37.425,39.26,803.32378,20.461
MPB,1.05,23.2,24.34,206.29205,8.476
MMS,1.05,75.79,79.51,5073.61261,63.811
CJ,1.05,9.42,9.88,652.6234,66.032
DK,1.05,33.83,35.50,2678.2975,75.445
GV,1.05,2.02,2.12,51.98876,24.523
GNC,1.05,1.89,1.98,167.776,84.581
SBGI,1.05,45.2,47.44,4334.226,91.354
ACST,1.05,2.1077,2.21,178.92457,80.873
OEC,1.05,12.91,13.55,815.99178,60.212
MGMLF,1.05,0.0783,0.08,18.69401,227.437
GVA,1.05,28.46,29.88,1399.51944,46.84
MYO,1.05,0.7761,0.81,13.93064,17.097
GTYH,1.05,6,6.30,329.18564,52.256
LOGC,1.05,9.86,10.35,232.87658,22.494
HNNA,1.05,9.8864,10.38,77.84377,7.499
DGSE,1.05,0.8,0.84,22.61616,26.924
HIBB,1.05,16.13,16.94,302.8254,17.88
USX,1.05,4.25,4.46,218.4615,48.954
NTCT,1.05,22.38,23.50,1784.2539,75.921
ADES,1.05,11.89,12.49,231.9792,18.578
PEIX,1.05,0.5625,0.59,29.40501,49.771
MKGI,1.05,2.1,2.21,23.89222,10.832
GLBS,1.05,1.85,1.94,6.24,3.211
TMHC,1.05,22.43,23.56,2481.27425,105.309
CPSH,1.05,0.9519,1.00,13.207,13.207
GALT,1.05,3.35,3.52,160.49088,45.594
VISI,1.05,4.33,4.55,96.5146,21.212
CHKP,1.05,111.04,116.69,17764.2095,152.24
NRG,1.05,34.15,35.90,9081.01352,252.988
UBNT,1.05,114.01,119.84,8458.5336,70.581
CUE,1.05,7.81,8.21,170.62843,20.783
FI,1.05,4.71,4.95,1115.72224,225.342
PUYI,1.05,11.5,12.09,677.3291,56.022
BTAI,1.05,8.41,8.84,139.11408,15.731
XRX,1.05,28.2,29.65,6561.78964,221.284
ENTX,1.05,2.5201,2.65,30.369,11.46
HSC,1.05,18.39,19.34,1552.4784,80.279
ASH,1.05,74.71,78.57,4755.45096,60.522
SRPT,1.05,126.09,132.61,9858.33932,74.34
NGVT,1.05,82.86,87.15,3647.97733,41.858
LOV,1.05,8.49,8.93,115.4811,12.932
LPG,1.05,8.82,9.28,510.85568,55.064
CBT,1.05,38.21,40.20,2321.9118,57.759
WATT,1.05,3.79,3.99,121.316,30.421
RYI,1.05,6.99,7.35,277.90126,37.784
MNST,1.05,59.23,62.32,33877.2185,543.576
FRAC,1.05,5.32,5.60,587.74287,104.984
BKUCF,1.05,0.1001,0.11,12.04385,114.317
ELLO,1.05,13.1,13.79,139.8556,10.143
INTZ,1.05,4.37,4.60,62.169,13.515
TOCA,1.05,4.71,4.96,117.91188,23.782
MCF,1.05,1.15,1.21,41.64457,34.401
SUP,1.05,2.75,2.90,72.7117,25.115
ENDP,1.05,2.46,2.59,586.35269,226.392
CORE,1.05,33.76,35.54,1630.78515,45.88
AKRX,1.05,3.01,3.17,399.76236,126.143
ASC,1.05,6.04,6.36,210.50328,33.098
KRO,1.05,10.72,11.29,1307.44224,115.806
ON,1.05,17.08,17.99,7383.84295,410.479
CRS,1.05,46.78,49.27,2334.65895,47.386
ANDE,1.05,25.52,26.88,873.53976,32.5
FOLD,1.05,10.82,11.40,2898.91446,254.333
GTX,1.05,11.97,12.61,940.97081,74.621
HSDT,1.05,2.0391,2.15,55.5646,25.866
FOSL,1.05,10.43,10.99,553.96236,50.411
VRCA,1.05,9.98,10.52,270.70524,25.741
EXP,1.05,84.32,88.86,3733.95876,42.023
STXS,1.05,2.4,2.53,150.03912,59.321
TUFN,1.05,18.48,19.48,631.8195,32.436
GSPE,1.05,0.0351,0.04,40.30906,1089.434
EDRY,1.05,7.1,7.49,17.06717,2.28
INSE,1.05,6.78,7.15,163.1259,22.818
CREE,1.05,58.12,61.29,6450.6658,105.248
LWLG,1.05,0.78,0.82,67.70476,82.295
APHA,1.05,6.34,6.69,1678.8927,251.039
FFHL,1.05,1.82,1.92,6.27072,3.266
FOE,1.06,12,12.66,1037.27178,81.933
GNPX,1.06,0.8223,0.87,13.53496,15.601
STNE,1.06,36.08,38.07,10560.558,277.396
EPC,1.06,29.6,31.24,1691.82,54.161
IEC,1.06,6.45,6.81,70.3483,10.335
PVH,1.06,74.66,78.79,5902.5367,74.913
IGXT,1.06,0.4083,0.43,40.30172,93.527
